Claim No,Policy No,Underwriting Year,Insured,Intermediary,Class,Class Code,Sub Class,Sub Class Code,Nature Of Loss,D.O.L,D.O.I,D.O.P,Start,Expiry,Indemnity Amount,Recoveries Amount,Handling Expense,Gross Amount,Reinsurance,Net Amount
C440854,P703962,2021,Priya Miller,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/12/2021,28/12/2021,29/04/2025,18/09/2021,17/09/2022,0,0,246324,246324,0,246324
C484272,P137306,2023,Maya Ahmed,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/06/2023,14/06/2023,25/04/2025,05/06/2023,04/05/2024,0,0,11047,11047,0,11047
C769452,P789858,2025,David Sharma,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,01/04/2025,01/04/2025,09/05/2025,12/02/2023,21/09/2025,0,0,128660,128660,0,128660
C342340,P804254,2024,Nina Thompson,Epsilon Underwriters,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,23/03/2025,24/03/2025,25/04/2025,01/07/2024,30/06/2025,0,0,6380,6380,0,6380
C208515,P342723,2024,David Singh,Sigma Risk Advisors,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/01/2025,27/01/2025,12/05/2025,06/12/2024,05/12/2025,0,0,3140,3140,0,3140
C723069,P456192,2024,Isla Gupta,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,07/04/2025,11/04/2025,12/05/2025,22/10/2024,21/10/2025,0,0,3100,3100,0,3100
C399235,P125591,2025,Sophia Shah,Broker Two,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,05/02/2025,07/02/2025,06/05/2025,01/01/2025,31/12/2025,0,0,6980,6980,0,6980
C616379,P293491,2024,Arjun Shah,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/04/2024,30/04/2024,12/05/2025,09/01/2024,08/01/2025,0,0,3020,3020,0,3020
C681470,P319094,2024,Nina Sharma,Theta Insurance,Motor Commercial,080,PSV,0804,Own Damage,30/03/2025,01/04/2025,09/05/2025,15/10/2024,14/10/2025,0,0,306836,306836,0,306836
C890129,P745580,2024,Lucas Khan,Eta Risk Solutions,Motor Commercial,080,PSV,0804,Own Damage,11/06/2024,18/06/2024,25/04/2025,15/03/2024,14/03/2025,0,0,2320,2320,0,2320
C881215,P470344,2024,Noah Gupta,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/04/2024,18/04/2024,25/04/2025,02/01/2024,01/01/2025,0,0,6380,6380,0,6380
C276943,P629471,2024,Aarav Wilson,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/02/2025,26/02/2025,12/05/2025,16/05/2024,15/05/2025,0,0,2320,2320,0,2320
C301302,P880630,2023,Leila Khan,Eta Risk Solutions,Motor Commercial,080,Motor Commercial Comprehensive,0800,Vehicle Theft,15/01/2024,18/01/2024,25/04/2025,01/10/2023,30/09/2024,0,0,7540,7540,0,7540
C541392,P180369,2023,Raj Williams,Sigma Risk Advisors,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/05/2024,17/05/2024,25/04/2025,01/08/2023,31/07/2024,0,0,2320,2320,0,2320
C681052,P196429,2023,Ella Khan,Atlas Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,06/07/2024,09/07/2024,25/04/2025,01/11/2023,31/10/2024,0,0,2320,2320,0,2320
C317420,P217645,2024,Ethan Lewis,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,13/01/2025,16/01/2025,07/05/2025,12/08/2024,11/08/2025,0,0,2900,2900,0,2900
C713597,P850423,2024,Omar Smith,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,03/02/2025,27/02/2025,07/05/2025,23/05/2024,22/05/2025,0,0,6650,6650,0,6650
C848687,P371353,2024,Lucas Gupta,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,13/09/2024,17/09/2024,06/05/2025,01/01/2024,31/12/2024,0,0,6380,6380,0,6380
C913814,P700022,2024,Priya Williams,Atlas Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,01/01/2025,02/01/2025,09/05/2025,26/05/2024,25/05/2025,0,0,16000,16000,0,16000
C681379,P575274,2024,Yusuf Brown,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,02/01/2025,07/01/2025,09/05/2025,17/11/2024,16/10/2025,0,0,28000,28000,0,28000
C235713,P589720,2021,Isla Ali,Lambda Insurance Group,Work Injury Benefits,11,Work Injury Benefits Act,112,Own Damage,25/01/2021,03/02/2021,11/06/2025,01/01/2021,31/12/2021,11950,0,0,11950,0,11950
C554262,P886575,2023,Leila Fernandez,Kappa Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,18/03/2023,21/03/2023,02/05/2025,07/03/2023,07/04/2023,42644,0,0,42644,0,42644
C884647,P589074,2023,Omar Ahmed,Eta Risk Solutions,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,18/03/2023,21/03/2023,02/05/2025,07/03/2023,07/04/2023,27814,0,0,27814,0,27814
C511778,P907943,2024,Leo Shah,Alpha Insurance Agency,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,23384,0,0,23384,0,23384
C186525,P992902,2024,Leo Davies,Lambda Insurance Group,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,23698,0,0,23698,0,23698
C208722,P447143,2024,Aisha Hughes,Alpha Insurance Agency,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,50841,0,0,50841,0,50841
C865182,P120856,2024,Mateo Singh,Lambda Insurance Group,Motor Commercial,080,General Cartage,0807,Accidental Damage,29/01/2025,07/02/2025,02/05/2025,17/12/2024,20/04/2025,15937,0,0,15937,0,15937
C421158,P108939,2023,Fatima Brown,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,01/10/2023,12/10/2023,29/04/2025,04/07/2023,31/01/2024,759236,0,0,759236,0,759236
C677148,P470647,2023,David Brown,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,21/11/2023,22/11/2023,29/04/2025,20/07/2023,20/07/2024,740764,0,0,740764,0,740764
C367752,P610970,2023,Leila Singh,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,25/08/2024,26/08/2024,29/04/2025,24/10/2023,24/10/2024,654987,0,0,654987,0,654987
C773997,P715911,2024,Noah Hall,Theta Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,04/06/2024,06/06/2024,29/04/2025,03/05/2024,02/03/2025,865782,0,0,865782,0,865782
C106338,P286661,2024,Daniel Taylor,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/02/2024,21/02/2024,30/04/2025,28/10/2023,27/09/2024,864350,0,0,864350,0,864350
C794366,P908063,2023,Ethan Gupta,Iota Claims Ltd,Motor Commercial,080,PSV,0804,Accidental Damage,09/02/2023,15/02/2023,30/04/2025,18/01/2023,17/11/2023,51600,0,0,51600,0,51600
C731314,P224718,2024,Maya Gupta,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/10/2024,19/10/2024,30/04/2025,04/02/2024,03/02/2025,550001,0,0,550001,0,550001
C420161,P213855,2025,Leo Sharma,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/04/2025,17/04/2025,05/05/2025,08/03/2025,07/03/2026,18000,0,0,18000,0,18000
C626791,P763860,2024,Mateo Shah,Broker Two,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/03/2025,02/04/2025,05/05/2025,06/08/2024,05/08/2025,40684,0,0,40684,0,40684
C287304,P398133,2024,Omar Ahmed,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/03/2025,02/04/2025,05/05/2025,06/08/2024,05/08/2025,15622,0,0,15622,0,15622
C687586,P602019,2025,Zara Sharma,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,15/01/2025,17/01/2025,09/05/2025,02/01/2025,01/02/2025,0,0,13000,13000,0,13000
C565262,P866155,2024,Aisha Davies,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,20/01/2025,24/01/2025,09/05/2025,13/11/2024,12/11/2025,0,0,18000,18000,0,18000
C253358,P432973,2024,Maya Fernandez,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,06/08/2024,12/08/2024,06/05/2025,10/02/2024,09/02/2025,0,0,3020,3020,0,3020
C766494,P251774,2024,Priya Sharma,Atlas Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,29/11/2024,30/11/2024,28/05/2025,01/04/2024,31/03/2025,0,0,160676,160676,0,160676
C417016,P803685,2022,Amelia Thompson,Summit Brokers,Motor Commercial,080,PSV,0804,Own Damage,08/06/2022,16/08/2022,07/05/2025,10/05/2022,09/06/2022,0,0,5800,5800,0,5800
C957851,P306845,2024,Daniel Hall,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,29/10/2024,05/11/2024,08/05/2025,20/03/2024,19/03/2025,0,0,116480,116480,0,116480
C221799,P420921,2024,Lucas Begum,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/01/2025,03/01/2025,08/05/2025,29/11/2024,28/11/2025,16500,0,0,16500,0,16500
C942040,P999748,2024,Nina Singh,Gamma Insurance Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,19/03/2025,20/03/2025,22/05/2025,01/05/2024,30/04/2025,505064,0,0,505064,0,505064
C897209,P764294,2022,Noah Wilson,Atlas Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,01/06/2022,06/06/2022,20/05/2025,20/05/2022,19/05/2023,0,0,27840,27840,0,27840
C775847,P439599,2022,Aarav Shah,Pegasus Insurance,Work Injury Benefits,11,Work Injury Benefits Act,112,Fatal injury,14/05/2023,15/05/2023,08/05/2025,01/08/2022,31/07/2023,565440,0,0,565440,565440,0
C909586,P314585,2024,Daniel Thompson,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,23/12/2024,02/01/2025,14/05/2025,08/03/2024,07/03/2025,0,0,320756,320756,0,320756
C787178,P635997,2024,Sophia Patel,Gamma Insurance Brokers,Motor Commercial,080,PSV,0804,Own Damage,31/12/2024,14/01/2025,20/06/2025,16/10/2024,15/10/2025,0,0,84580,84580,0,84580
C498078,P420168,2018,Priya Lewis,Horizon Brokers,Motor Private,070,Motor Private Third Party Only,0703,Own Damage,11/10/2019,08/01/2020,09/05/2025,21/11/2018,20/11/2019,0,0,30000,30000,0,30000
C496438,P854211,2019,Maya Hall,Zeta Assurance,Motor Private,070,Motor Private Third Party Only,0703,Own Damage,15/02/2020,01/11/2021,09/05/2025,06/06/2019,05/06/2020,0,0,211600,211600,0,211600
C615644,P132254,2023,Daniel Fernandez,Kappa Brokers,Motor Commercial,080,General Cartage,0807,Accidental Damage,05/10/2023,05/10/2023,09/05/2025,05/07/2023,30/06/2024,0,0,35000,35000,0,35000
C285809,P565503,2024,Fatima Ali,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,25/01/2025,28/01/2025,14/05/2025,21/12/2024,20/12/2025,0,0,232000,232000,0,232000
C857490,P690788,2022,Isla Brown,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/07/2022,22/07/2022,15/05/2025,25/03/2022,24/03/2023,0,0,71600,71600,0,71600
C331441,P636856,2024,Raj Ahmed,Theta Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,17/04/2025,22/04/2025,12/05/2025,30/10/2024,29/10/2025,22500,0,0,22500,0,22500
C665039,P956610,2024,Aarav Johnson,Delta Coverage Ltd,Fire Industrial,04,Fire and Allied Perils,040,Floods,25/01/2025,15/02/2025,15/05/2025,02/10/2024,01/07/2025,0,0,262740," 262,740.00 ",12511.42,250228.58
C616961,P193699,2024,Lucas Roberts,Vertex Insurance,Marine,06,Goods- in- Transit,062,Theft of goods,28/12/2024,06/01/2025,10/06/2025,01/01/2024,31/12/2024,1336300,0,0,1336300,1172671.4,163628.6
C744349,P257323,2024,David Singh,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/12/2024,30/12/2024,14/05/2025,18/01/2024,17/01/2025,0,0,17400,17400,0,17400
C776917,P430483,2024,David Singh,Pioneer Underwriters,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,28/10/2024,28/10/2024,20/05/2025,01/10/2024,30/09/2025,0,0,1079251,1079251,0,1079251
C144396,P886428,2025,Sophia Singh,Orion Risk Partners,Motor Commercial,080,PSV,0804,Own Damage,01/01/2025,07/01/2025,19/05/2025,13/12/2024,12/12/2025,217018,0,0,217018,0,217018
C566399,P728781,2024,Aisha Taylor,Summit Brokers,Motor Commercial,080,Institutional Vehicles,0813,Own Damage,28/02/2025,03/03/2025,19/05/2025,24/04/2024,23/04/2025,113000,0,0,113000,0,113000
C949551,P612221,2024,Mateo Wilson,Pioneer Underwriters,Motor Private,070,Motor Cycle Third Party Only,0704,Injury To Third Part,11/11/2024,25/11/2024,20/05/2025,02/01/2024,01/01/2025,0,0,43533,43533,0,43533
C168818,P715301,2022,Zara Ahmed,Broker Three,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,02/01/2023,05/01/2023,20/05/2025,27/06/2022,26/06/2023,0,0,3000,3000,0,3000
C447586,P958128,2024,Daniel Singh,Broker One,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,07/02/2025,12/02/2025,22/05/2025,01/05/2024,30/04/2025,159384,0,0,159384,0,159384
C781705,P877504,2025,Sophia Roberts,Theta Insurance,Motor Private,070,Motor Private Comprehensive,0700,Injury To Third Part,15/01/2025,10/03/2025,26/05/2025,01/01/2025,31/12/2025,0,0,296350,296350,0,296350
C227105,P561532,2024,Priya Davies,Kappa Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,02/02/2025,05/02/2025,10/06/2025,02/12/2024,01/09/2025,0,0,695552,695552,0,695552
C545807,P788132,2024,Daniel Ali,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,22/01/2025,03/02/2025,27/05/2025,11/02/2024,10/02/2025,0,0,20400,20400,0,20400
C396293,P176888,2024,Sophia Ahmed,Horizon Brokers,Motor Commercial,080,Motor Commercial Third Party,0808,Own Damage,28/12/2024,24/01/2025,03/06/2025,29/09/2024,29/09/2025,0,0,23150,23150,0,23150
C757256,P405010,2024,Ella Roberts,Alpha Insurance Agency,Fire Industrial,04,Fire and Allied Perils,040,Floods,01/12/2024,30/04/2025,27/06/2025,01/05/2024,01/05/2025,533170,0,0," 533,170.00 ",0,533170
C195511,P200871,2022,Leo Hall,Theta Insurance,Liability,05,Carriers Legal Liability,064,Accidental Damage,11/04/2023,03/09/2024,09/06/2025,01/08/2022,31/07/2023,50000,0,0,50000,0,50000
C997564,P888883,2025,Mateo Ali,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,15/03/2025,17/03/2025,28/05/2025,09/02/2025,01/12/2025,74000,0,0,74000,0,74000
C982115,P174801,2025,Leila Ahmed,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,16/03/2025,17/03/2025,28/05/2025,15/02/2025,14/01/2026,14344,0,0,14344,0,14344
C257778,P535043,2023,Nina Williams,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,16/11/2023,20/11/2023,28/05/2025,23/08/2023,22/08/2024,0,0,149800,149800,0,149800
C418834,P898538,2024,Aarav Hughes,Broker One,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/05/2024,28/05/2024,29/05/2025,11/02/2024,10/02/2025,528936,0,0,528936,0,528936
C962387,P177043,2024,Zara Ahmed,Eta Risk Solutions,Marine,06,Marine Cargo,061,Accidental Damage,04/04/2024,09/04/2024,30/05/2025,28/03/2024,26/06/2024,987654,0,0,987654,0,987654
C995427,P639249,2023,Aarav Khan,Taurus Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,31/12/2023,03/01/2024,30/05/2025,14/12/2023,13/12/2024,165000,0,0,165000,0,165000
C499069,P214817,2023,Fatima Lewis,Gamma Insurance Brokers,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,08/03/2024,13/03/2024,30/05/2025,13/09/2023,12/09/2024,452100,0,0,452100,0,452100
C134298,P309704,2024,Leo Hughes,Pegasus Insurance,Work Injury Benefits,11,Work Injury Benefits Act,112,Injury to worker,01/02/2025,06/03/2025,18/06/2025,14/02/2024,13/03/2025,25725,0,0,25725,0,25725
C468377,P185553,2024,Aarav Shah,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,19/02/2025,19/05/2025,03/06/2025,31/08/2024,30/08/2025,0,0,34500,34500,0,34500
C602201,P469882,2024,Ethan Johnson,Sigma Risk Advisors,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,30/12/2024,30/12/2024,10/06/2025,16/02/2024,14/01/2025,0,0,22000,22000,0,22000
C931192,P597562,2024,Ella Singh,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,18/04/2025,22/04/2025,10/06/2025,11/12/2024,10/12/2025,0,0,21000,21000,0,21000
C736036,P814807,2025,Fatima Taylor,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,20/02/2025,25/02/2025,11/06/2025,18/11/2024,17/11/2025,0,0,516390,516390,0,516390
C829355,P673389,2025,Leo Fernandez,Beta Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,29/04/2025,30/04/2025,10/06/2025,13/01/2025,12/11/2025,0,0,18500,18500,0,18500
C626780,P260202,2024,Leila Smith,Sigma Risk Advisors,Motor Commercial,080,Motor Commercial Comprehensive,0800,Windscreen Damage,07/05/2025,07/05/2025,10/06/2025,22/07/2024,21/07/2025,0,0,18500,18500,0,18500
C676081,P798119,2024,Lucas Shah,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,11/04/2025,16/04/2025,10/06/2025,20/06/2024,19/04/2025,0,0,22000,22000,0,22000
C843750,P306743,2023,Yusuf Patel,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/12/2023,22/12/2023,10/06/2025,01/02/2023,31/01/2024,120000,0,0,120000,0,120000
C594982,P551851,2019,Ella Smith,Epsilon Underwriters,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,02/06/2019,04/06/2019,10/06/2025,01/01/2019,31/12/2019,0,0,152325,152325,0,152325
C313985,P986658,2025,Ethan Brown,Orion Risk Partners,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/02/2025,07/03/2025,10/06/2025,01/02/2025,31/01/2026,0,0,92120,92120,0,92120
C126988,P242508,2025,David Ahmed,Gamma Insurance Brokers,Motor Commercial,080,General Cartage,0807,Windscreen Damage,02/05/2025,02/05/2025,09/06/2025,02/01/2025,01/01/2026,0,0,23780,23780,0,23780
C527752,P496877,2024,David Hall,Lambda Insurance Group,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,23/12/2024,02/01/2025,10/06/2025,07/02/2024,06/02/2025,0,0,330500,330500,0,330500
C614025,P721298,2024,Ella Sharma,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,15/11/2024,21/11/2024,16/06/2025,01/04/2024,31/03/2025,0,0,93380,93380,0,93380
C870327,P259994,2024,Leila Patel,Pegasus Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,30/01/2025,30/01/2025,16/06/2025,23/10/2024,22/10/2025,0,0,77620,77620,0,77620
C205717,P487110,2023,Daniel Ahmed,Summit Brokers,Marine,06,Marine Cargo,061,Damage To Goods,09/10/2023,23/10/2023,10/06/2025,04/10/2023,03/01/2024,60039,0,0,60039,60038.99,0.01
C938470,P936452,2023,Zara Roberts,Pioneer Underwriters,Marine,06,Marine Cargo,061,Damage To Goods,09/10/2023,23/10/2023,10/06/2025,04/10/2023,03/01/2024,83611,0,0,83611,83610.99,0.01
C506384,P353427,2024,Leila Williams,Atlas Insurance,Motor Commercial,080,Motor Commercial Comprehensive,0800,Windscreen Damage,17/03/2025,18/03/2025,19/06/2025,09/10/2024,08/09/2025,0,0,16000,16000,0,16000
C903397,P873519,2024,Fatima Lewis,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/01/2025,27/01/2025,20/06/2025,06/12/2024,05/12/2025,7500,0,0,7500,0,7500
C191070,P148573,2025,Leila Williams,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,18/05/2025,20/05/2025,20/06/2025,02/05/2025,01/06/2025,24200,0,0,24200,0,24200
C738115,P141907,2023,Daniel Hall,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/05/2023,31/05/2023,20/06/2025,12/01/2023,09/11/2023,0,0,31050,31050,0,31050
C460930,P883967,2024,Ethan Johnson,Taurus Brokers,Motor Commercial,080,PSV,0804,Own Damage,17/11/2024,20/11/2024,20/06/2025,29/08/2024,28/06/2025,0,0,24450,24450,0,24450
C755166,P156185,2024,Isla Brown,Atlas Insurance,Motor Commercial,080,PSV,0804,Own Damage,25/08/2024,28/08/2024,20/06/2025,11/05/2024,10/04/2025,0,0,26714,26714,0,26714
C984442,P503172,2024,Nina Ahmed,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/05/2025,26/05/2025,27/06/2025,16/06/2024,15/06/2025,0,0,34950,34950,0,34950
C452258,P459379,2024,Maya Roberts,Lambda Insurance Group,Motor Commercial,080,Motor Commercial Comprehensive,0800,Own Damage,12/06/2024,13/06/2024,18/06/2025,01/01/2024,31/12/2024,1311000,0,0,1311000,0,1311000
C239365,P310555,2025,Yusuf Brown,Broker Two,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,21/04/2025,28/04/2025,18/06/2025,05/04/2025,04/04/2026,40000,0,0,40000,0,40000
C426195,P467575,2024,Sophia Khan,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Injury To Third Part,30/06/2024,24/12/2024,20/06/2025,17/05/2024,16/05/2025,0,0,175700,175700,0,175700
C391625,P184792,2024,Isla Fernandez,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Windscreen Damage,13/06/2025,13/06/2025,19/06/2025,02/12/2024,01/12/2025,20000,0,0,20000,0,20000
C845748,P963632,2020,Priya Miller,Alpha Insurance Agency,Work Injury Benefits,11,Work Injury Benefits Act,112,Own Damage,30/05/2020,04/06/2020,24/06/2025,01/01/2020,31/12/2020,115200,0,0,115200,0,115200
C490969,P269371,2025,Ethan Shah,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/02/2025,07/03/2025,27/06/2025,06/11/2024,05/11/2025,5220,0,0,5220,0,5220
C998598,P563205,2024,Zara Khan,Pioneer Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,11/04/2025,13/04/2025,24/06/2025,11/09/2024,10/09/2025,0,0,269600,269600,0,269600
C657367,P865642,2024,David Johnson,Summit Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,07/12/2024,13/12/2024,25/06/2025,10/02/2024,09/02/2025,980560,0,0,980560,0,980560
C936811,P343251,2024,Zara Williams,Epsilon Underwriters,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/08/2024,09/08/2024,25/06/2025,20/03/2024,19/03/2025,101020,0,0,101020,0,101020
C288244,P588497,2024,Leo Sharma,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,07/07/2024,17/07/2024,25/06/2025,04/04/2024,03/04/2025,460390,0,0,460390,0,460390
C905768,P509532,2024,Nina Brown,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/05/2025,16/05/2025,27/06/2025,15/09/2024,14/09/2025,13920,0,0,13920,0,13920
C164188,P558507,2025,Ethan Smith,Vertex Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,26/04/2025,30/04/2025,27/06/2025,13/03/2025,12/03/2026,5220,0,0,5220,0,5220
C747681,P706822,2025,Ella Roberts,Atlas Insurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,12/02/2025,18/02/2025,27/06/2025,01/01/2025,31/12/2025,0,0,12000,12000,0,12000
C231641,P898664,2023,Ethan Gupta,Lambda Insurance Group,Fire Domestic,03,Domestic Package,030,Floods,02/05/2024,08/05/2024,27/06/2025,02/06/2023,01/06/2024,2000000,0,0,2000000,893539.6,1106460.4
C168904,P622945,2024,Omar Roberts,Pioneer Underwriters,Theft,10,All Risks,103,Loss of Item,09/01/2025,05/05/2025,30/06/2025,01/03/2024,28/02/2025,5123174,0,0,5123174,1317287.92,3805886.08
C123215,P586906,2023,Yusuf Hughes,Delta Coverage Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,10/06/2023,03/07/2023,13/03/2025,09/02/2023,08/02/2024,0,0,10780,10780,0,10780
C920466,P830996,2022,Daniel Sharma,Eta Risk Solutions,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,09/06/2023,12/06/2023,13/03/2025,09/12/2022,08/12/2023,0,0,2875,2875,0,2875
C421607,P751309,2024,Lucas Shah,Broker One,Engineering,02,Machinery Breakdown,023,Accidental damage,22/05/2024,04/09/2024,09/01/2025,01/01/2024,31/12/2024,0,0,45240,45240,0,45240
C595265,P982211,2023,Arjun Brown,Alpha Insurance Agency,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,25/11/2023,28/11/2023,09/01/2025,24/03/2023,23/03/2024,0,0,84800,84800,0,84800
C880491,P358714,2023,Fatima Ali,Iota Claims Ltd,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,11/07/2024,11/07/2024,19/02/2025,15/08/2023,14/08/2024,0,0,115204,115204,0,115204
C858008,P537267,2023,Aisha Lewis,Broker Three,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,05/07/2024,05/07/2024,21/02/2025,01/10/2023,01/10/2024,0,0,188284,188284,0,188284
C353295,P975796,2024,Aisha Ali,Horizon Brokers,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,17/08/2024,26/08/2024,10/01/2025,01/12/2023,30/11/2024,0,0,113420,113420,0,113420
C328409,P800500,2022,Yusuf Shah,Vertex Insurance,Work Injury Benefits,11,Work Injury Benefits Act,112,Injury to worker,28/07/2023,03/08/2023,15/01/2025,24/08/2022,23/08/2023,22011,0,0,22011,0,22011
C253740,P622028,2023,Ethan Shah,Broker One,Motor Commercial,080,Motor Commercial Third Party,0808,Injury To Third Part,08/04/2024,09/04/2024,09/01/2025,01/07/2023,30/06/2024,0,0,30000,30000,0,30000
C115238,P637532,2024,Daniel Johnson,Zeta Assurance,Motor Private,070,Motor Private Comprehensive,0700,Own Damage,28/07/2024,08/08/2024,19/02/2025,04/03/2024,03/01/2025,0,0,6980,6980,0,6980
C427301,P518305,2014,Raj Johnson,Pioneer Underwriters,Work Injury Benefits,11,Work Injury Benefits Act,112,Own Damage,24/03/2015,15/03/2017,30/01/2025,07/04/2014,06/04/2015,0,0,171600,171600,0,171600
